tta_method,composition_id,composition_clients,composition_length,corruption,clean_samples,corruption_samples,before_clean_accuracy,before_corruption_accuracy,before_mixed_accuracy,adapted_clean_accuracy,adapted_corruption_accuracy,adapted_mixed_accuracy,gain_clean,gain_corruption,gain_mixed
tta_bn,composition_1_4,"client_1,client_4",2,zigzag,100,100,0.98,0.8,0.89,0.97,0.84,0.905,-0.010000000000000009,0.039999999999999925,0.015000000000000013
tta_memo,composition_1_4,"client_1,client_4",2,zigzag,100,100,0.98,0.8,0.89,0.98,0.8,0.89,0.0,0.0,0.0
tent,composition_2,client_2,1,brightness,100,100,1.0,0.18,0.59,0.99,0.94,0.865,-0.010000000000000009,0.76,0.275
tta_bn,composition_2,client_2,1,brightness,100,100,1.0,0.18,0.59,0.63,0.94,0.785,-0.37,0.76,0.19500000000000006
tta_memo,composition_2,client_2,1,brightness,100,100,1.0,0.18,0.59,0.96,0.38,0.67,-0.040000000000000036,0.2,0.08000000000000007
tent,composition_2,client_2,1,zigzag,100,100,1.0,0.75,0.875,0.99,0.77,0.875,-0.010000000000000009,0.020000000000000018,0.0
tta_bn,composition_2,client_2,1,zigzag,100,100,1.0,0.75,0.875,0.99,0.78,0.885,-0.010000000000000009,0.030000000000000027,0.010000000000000009
tta_memo,composition_2,client_2,1,zigzag,100,100,1.0,0.75,0.875,1.0,0.76,0.88,0.0,0.010000000000000009,0.0050000000000000044
tent,composition_2_3,"client_2,client_3",2,brightness,100,100,1.0,0.16,0.58,1.0,0.98,0.865,0.0,0.82,0.28500000000000003
tta_bn,composition_2_3,"client_2,client_3",2,brightness,100,100,1.0,0.16,0.58,0.55,0.97,0.76,-0.44999999999999996,0.8099999999999999,0.18000000000000005
tta_memo,composition_2_3,"client_2,client_3",2,brightness,100,100,1.0,0.16,0.58,0.97,0.32,0.645,-0.030000000000000027,0.16,0.06500000000000006
tent,composition_2_3,"client_2,client_3",2,zigzag,100,100,1.0,0.79,0.895,1.0,0.84,0.92,0.0,0.04999999999999993,0.025000000000000022
tta_bn,composition_2_3,"client_2,client_3",2,zigzag,100,100,1.0,0.79,0.895,1.0,0.84,0.92,0.0,0.04999999999999993,0.025000000000000022
tta_memo,composition_2_3,"client_2,client_3",2,zigzag,100,100,1.0,0.79,0.895,1.0,0.8,0.9,0.0,0.010000000000000009,0.0050000000000000044
tent,composition_2_3_4,"client_2,client_3,client_4",3,brightness,100,100,1.0,0.22,0.61,1.0,0.98,0.885,0.0,0.76,0.275
tta_bn,composition_2_3_4,"client_2,client_3,client_4",3,brightness,100,100,1.0,0.22,0.61,0.58,0.96,0.77,-0.42000000000000004,0.74,0.16000000000000003
tta_memo,composition_2_3_4,"client_2,client_3,client_4",3,brightness,100,100,1.0,0.22,0.61,0.97,0.43,0.7,-0.030000000000000027,0.21,0.08999999999999997
tent,composition_2_3_4,"client_2,client_3,client_4",3,zigzag,100,100,1.0,0.81,0.905,1.0,0.84,0.91,0.0,0.029999999999999916,0.0050000000000000044
tta_bn,composition_2_3_4,"client_2,client_3,client_4",3,zigzag,100,100,1.0,0.81,0.905,0.99,0.84,0.915,-0.010000000000000009,0.029999999999999916,0.010000000000000009
