corruption,mean_accuracy,scale,threshold,precision,recall,accuracy,f1
motion_blur,0.3565071202531645,1.1,0.392157832278481,0.0,0.0,0.2911392405063291,0.0
motion_blur,0.3565071202531645,1.2,0.4278085443037974,0.0,0.0,0.34177215189873417,0.0
motion_blur,0.3565071202531645,1.3,0.4634592563291139,0.0,0.0,0.4177215189873418,0.0
motion_blur,0.3565071202531645,1.4,0.4991099683544303,0.0,0.0,0.4810126582278481,0.0
motion_blur,0.3565071202531645,1.5,0.5347606803797468,0.0,0.0,0.5759493670886076,0.0
pixelate,0.377373417721519,0.5,0.1886867088607595,0.2,0.9375,0.22784810126582278,0.32967032967032966
pixelate,0.377373417721519,0.6,0.22642405063291138,0.2,0.9375,0.22784810126582278,0.32967032967032966
pixelate,0.377373417721519,0.7,0.26416139240506326,0.18840579710144928,0.8125,0.25316455696202533,0.3058823529411765
pixelate,0.377373417721519,0.8,0.30189873417721524,0.203125,0.8125,0.31645569620253167,0.325
pixelate,0.377373417721519,0.9,0.3396360759493671,0.2,0.75,0.34177215189873417,0.31578947368421056
pixelate,0.377373417721519,1.0,0.377373417721519,0.16981132075471697,0.5625,0.35443037974683544,0.2608695652173913
pixelate,0.377373417721519,1.1,0.41511075949367093,0.1875,0.5625,0.4177215189873418,0.28125
pixelate,0.377373417721519,1.2,0.45284810126582276,0.175,0.4375,0.46835443037974683,0.24999999999999994
pixelate,0.377373417721519,1.3,0.49058544303797474,0.15625,0.3125,0.5189873417721519,0.20833333333333334
pixelate,0.377373417721519,1.4,0.5283227848101265,0.18518518518518517,0.3125,0.5822784810126582,0.2325581395348837
pixelate,0.377373417721519,1.5,0.5660601265822784,0.23809523809523808,0.3125,0.6582278481012658,0.27027027027027023
saturate,0.3007318037974683,0.5,0.15036590189873414,0.8354430379746836,1.0,0.8354430379746836,0.9103448275862069
saturate,0.3007318037974683,0.6,0.18043908227848096,0.8354430379746836,1.0,0.8354430379746836,0.9103448275862069
saturate,0.3007318037974683,0.7,0.21051226265822778,0.8354430379746836,1.0,0.8354430379746836,0.9103448275862069
saturate,0.3007318037974683,0.8,0.24058544303797463,0.8333333333333334,0.9848484848484849,0.8227848101265823,0.9027777777777777
saturate,0.3007318037974683,0.9,0.27065862341772146,0.8311688311688312,0.9696969696969697,0.810126582278481,0.8951048951048951
saturate,0.3007318037974683,1.0,0.3007318037974683,0.8289473684210527,0.9545454545454546,0.7974683544303798,0.8873239436619719
saturate,0.3007318037974683,1.1,0.33080498417721516,0.8289473684210527,0.9545454545454546,0.7974683544303798,0.8873239436619719
saturate,0.3007318037974683,1.2,0.3608781645569619,0.8266666666666667,0.9393939393939394,0.7848101265822784,0.8794326241134751
saturate,0.3007318037974683,1.3,0.3909513449367088,0.821917808219178,0.9090909090909091,0.759493670886076,0.8633093525179857
saturate,0.3007318037974683,1.4,0.42102452531645557,0.8235294117647058,0.8484848484848485,0.7215189873417721,0.8358208955223881
saturate,0.3007318037974683,1.5,0.45109770569620244,0.8125,0.7878787878787878,0.6708860759493671,0.8
shot_noise,0.2848101265822785,0.5,0.14240506329113925,0.8987341772151899,1.0,0.8987341772151899,0.9466666666666668
shot_noise,0.2848101265822785,0.6,0.17088607594936708,0.8987341772151899,1.0,0.8987341772151899,0.9466666666666668
shot_noise,0.2848101265822785,0.7,0.19936708860759494,0.8974358974358975,0.9859154929577465,0.8860759493670886,0.9395973154362417
shot_noise,0.2848101265822785,0.8,0.2278481012658228,0.8974358974358975,0.9859154929577465,0.8860759493670886,0.9395973154362417
