tta_method,case,performing_clients,performing_length,tta_client,tta_corruption,clean_samples,corruption_samples,initial_mixed_accuracy,protected_v2_mixed_accuracy,protected_v2_gain_vs_initial_mixed,model_pref_tta_weight,bn_pref_tta_weight,sum_pref_tta_weight
tta_bn,perf_0_1_3_plus_2_on_zigzag,"client_0,client_1,client_3",3,client_2,zigzag,50,50,0.9,0.91,0.010000000000000009,0.00011789187978229591,0.011165630668098746,0.011283522547881042
tta_bn,perf_0_1_3_4_plus_2_on_zigzag,"client_0,client_1,client_3,client_4",4,client_2,zigzag,50,50,0.9,0.91,0.010000000000000009,0.00014516133154193745,0.010662712068757503,0.01080787340029944
tta_bn,perf_0_plus_3_on_brightness,client_0,1,client_3,brightness,50,50,0.6,0.62,0.020000000000000018,2.9095285933283444e-05,1.8432268820274471e-06,3.0938512815310894e-05
tta_bn,perf_1_plus_3_on_brightness,client_1,1,client_3,brightness,50,50,0.63,0.67,0.040000000000000036,3.5808911043040873e-05,2.3001400066841306e-06,3.8109051049725005e-05
tta_bn,perf_2_plus_3_on_brightness,client_2,1,client_3,brightness,50,50,0.59,0.61,0.020000000000000018,1.718796481322614e-05,1.4115680043626952e-06,1.8599532817588836e-05
tta_bn,perf_4_plus_3_on_brightness,client_4,1,client_3,brightness,50,50,0.63,0.67,0.040000000000000036,2.6041978625172744e-05,1.983257721140067e-06,2.802523634631281e-05
tta_bn,perf_0_1_plus_3_on_brightness,"client_0,client_1",2,client_3,brightness,50,50,0.64,0.66,0.020000000000000018,0.00011700042788472369,2.267455417503333e-06,0.00011926788330222702
tta_bn,perf_0_2_plus_3_on_brightness,"client_0,client_2",2,client_3,brightness,50,50,0.6,0.62,0.020000000000000018,9.571765026945278e-05,1.798942723107442e-06,9.751659299256023e-05
tta_bn,perf_0_4_plus_3_on_brightness,"client_0,client_4",2,client_3,brightness,50,50,0.62,0.67,0.050000000000000044,0.00010479589736835736,2.0871895777610564e-06,0.00010688308694611841
tta_bn,perf_1_2_plus_3_on_brightness,"client_1,client_2",2,client_3,brightness,50,50,0.62,0.64,0.020000000000000018,0.00010318689937957428,1.9312521081750702e-06,0.00010511815148774935
tta_bn,perf_1_4_plus_3_on_brightness,"client_1,client_4",2,client_3,brightness,50,50,0.66,0.68,0.020000000000000018,0.00010972851309463825,2.4214955854795973e-06,0.00011215000868011784
tta_bn,perf_2_4_plus_3_on_brightness,"client_2,client_4",2,client_3,brightness,50,50,0.63,0.66,0.030000000000000027,9.427796089954778e-05,1.8995040434923753e-06,9.617746494304015e-05
tta_bn,perf_0_1_2_plus_3_on_brightness,"client_0,client_1,client_2",3,client_3,brightness,50,50,0.62,0.64,0.020000000000000018,0.00017540321839343395,2.0518015127600875e-06,0.00017745501990619404
tta_bn,perf_0_2_4_plus_3_on_brightness,"client_0,client_2,client_4",3,client_3,brightness,50,50,0.62,0.64,0.020000000000000018,0.0001665706368959026,1.9959246581948067e-06,0.00016856656155409742
tta_bn,perf_1_2_4_plus_3_on_brightness,"client_1,client_2,client_4",3,client_3,brightness,50,50,0.64,0.66,0.020000000000000018,0.00017155404471081348,2.1466325355551736e-06,0.00017370067724636865
tta_bn,perf_0_1_2_4_plus_3_on_brightness,"client_0,client_1,client_2,client_4",4,client_3,brightness,50,50,0.64,0.66,0.020000000000000018,0.00022556684760611031,2.1651675029106236e-06,0.00022773201510902093
tta_bn,perf_0_2_plus_3_on_stripe,"client_0,client_2",2,client_3,stripe,50,50,0.94,0.95,0.010000000000000009,9.571765026945278e-05,1.401773683474132e-06,9.711942395292691e-05
tta_bn,perf_2_4_plus_3_on_stripe,"client_2,client_4",2,client_3,stripe,50,50,0.93,0.94,0.009999999999999898,9.427796089954778e-05,1.5343830785980054e-06,9.581234397814578e-05
tta_bn,perf_0_1_2_plus_3_on_stripe,"client_0,client_1,client_2",3,client_3,stripe,50,50,0.94,0.95,0.010000000000000009,0.00017540321839343395,1.322146161304453e-06,0.00017672536455473842
tta_bn,perf_0_2_4_plus_3_on_stripe,"client_0,client_2,client_4",3,client_3,stripe,50,50,0.94,0.95,0.010000000000000009,0.0001665706368959026,1.5844851664670961e-06,0.0001681551220623697
tta_bn,perf_0_1_2_4_plus_3_on_stripe,"client_0,client_1,client_2,client_4",4,client_3,stripe,50,50,0.94,0.95,0.010000000000000009,0.00022556684760611031,1.4820767181505442e-06,0.00022704892432426086
tta_bn,perf_0_4_plus_3_on_zigzag,"client_0,client_4",2,client_3,zigzag,50,50,0.89,0.92,0.030000000000000027,0.00010479589736835736,0.014907945747048658,0.015012741644417016
tta_bn,perf_1_4_plus_3_on_zigzag,"client_1,client_4",2,client_3,zigzag,50,50,0.9,0.91,0.010000000000000009,0.00010972851309463825,0.016078657141330194,0.016188385654424833
tta_bn,perf_0_1_2_plus_3_on_zigzag,"client_0,client_1,client_2",3,client_3,zigzag,50,50,0.9,0.91,0.010000000000000009,0.00017540321839343395,0.017202728851425615,0.017378132069819047
tta_bn,perf_0_1_2_4_plus_3_on_zigzag,"client_0,client_1,client_2,client_4",4,client_3,zigzag,50,50,0.9,0.91,0.010000000000000009,0.00022556684760611031,0.019395409665963415,0.019620976513569525
tta_bn,perf_1_2_plus_4_on_glass_blur,"client_1,client_2",2,client_4,glass_blur,50,50,0.91,0.93,0.020000000000000018,0.00011937844897474902,0.0017665235519345641,0.001885902000909313
tta_bn,perf_0_2_3_plus_4_on_glass_blur,"client_0,client_2,client_3",3,client_4,glass_blur,50,50,0.93,0.94,0.009999999999999898,0.00018641426190008136,0.0022053501939062444,0.0023917644558063256
tta_bn,perf_0_1_2_3_plus_4_on_glass_blur,"client_0,client_1,client_2,client_3",4,client_4,glass_blur,50,50,0.93,0.94,0.009999999999999898,0.00026833851716167,0.0023884190027590726,0.002656757519920743
tta_bn,perf_1_plus_4_on_stripe,client_1,1,client_4,stripe,50,50,0.91,0.94,0.029999999999999916,4.552402718002308e-05,3.784300009007781e-07,4.590245718092386e-05
tta_bn,perf_3_plus_4_on_stripe,client_3,1,client_4,stripe,50,50,0.93,0.95,0.019999999999999907,2.6041978625172744e-05,9.032686788613437e-07,2.6945247304034087e-05
